pmid,year
12148644,2002
12624073,2003
16782812,2006
18709355,2008
19496818,2009
19709217,2002
19732152,2009
20159048,2010
21753800,2012
22309113,2012
23898195,2013
25598851,2014
25781158,2015
25816613,2015
26373169,2015
26668663,2015
26757109,2015
27590448,2016
28209813,2017
28622862,2017
28894218,2017
28977605,2017
29440355,2018
30704054,2019
30707247,2019
30775453,2019
31330956,2019
32158702,2020
32560561,2020
33106354,2021
34442784,2021
34466295,2021
34490139,2021
34950117,2021
35440640,2022
35468931,2022
35696554,2022
35851765,2022
35939616,2022
36288140,2022
36362265,2022
37052305,2023
37167201,2023
37174640,2023
37438876,2023
37532933,2023
37626119,2023
37753963,2023
38015106,2023
38060167,2024
38577682,2024
38801922,2024
38959643,2024
39161605,2024
39264803,2024
39293583,2024
39338129,2024
39399486,2024
39550838,2024
12148644,2002
12624073,2003
16782812,2006
18709355,2008
19496818,2009
19709217,2002
19732152,2009
20159048,2010
21753800,2012
22309113,2012
23898195,2013
25598851,2014
25781158,2015
25816613,2015
26373169,2015
26668663,2015
26757109,2015
27590448,2016
28209813,2017
28622862,2017
28894218,2017
28977605,2017
29440355,2018
30704054,2019
30707247,2019
30775453,2019
31330956,2019
32158702,2020
32560561,2020
33106354,2021
34442784,2021
34466295,2021
34490139,2021
34950117,2021
35440640,2022
35468931,2022
35696554,2022
35851765,2022
35939616,2022
36288140,2022
36362265,2022
37052305,2023
37167201,2023
37174640,2023
37438876,2023
37532933,2023
37626119,2023
37753963,2023
38015106,2023
38060167,2024
38577682,2024
38801922,2024
38959643,2024
39161605,2024
39264803,2024
39293583,2024
39338129,2024
39399486,2024
39550838,2024
