000001,Escherichia flexneri,E. flexneri,000001.txt,000001_abbreviated.txt
000002,Staphylococcus aureus,S. aureus,000002.txt,000002_abbreviated.txt
000003,Salmonella enterica,S. enterica,000003.txt,000003_abbreviated.txt
000004,Klebsiella pneumoniae,K. pneumoniae,000004.txt,000004_abbreviated.txt
000005,Streptococcus pneumoniae,S. pneumoniae,000005.txt,000005_abbreviated.txt
000006,Mycobacterium tuberculosis,M. tuberculosis,000006.txt,000006_abbreviated.txt
000007,Pseudomonas aeruginosa,P. aeruginosa,000007.txt,000007_abbreviated.txt
000008,Acinetobacter baumannii,A. baumannii,000008.txt,000008_abbreviated.txt
000009,Escherichia coli,E. coli,000009.txt,000009_abbreviated.txt
000010,Streptococcus pyogenes,S. pyogenes,000010.txt,000010_abbreviated.txt
000011,Clostridioides difficile,C. difficile,000011.txt,000011_abbreviated.txt
000012,Escherichia dysenteriae,E. dysenteriae,000012.txt,000012_abbreviated.txt
000013,Neisseria meningitidis,N. meningitidis,000013.txt,000013_abbreviated.txt
000014,Enterococcus faecium,E. faecium,000014.txt,000014_abbreviated.txt
000015,Listeria monocytogenes,L. monocytogenes,000015.txt,000015_abbreviated.txt
000016,Campylobacter jejuni,C. jejuni,000016.txt,000016_abbreviated.txt
000017,Burkholderia mallei,B. mallei,000017.txt,000017_abbreviated.txt
000018,Mycobacterium abscessus,M. abscessus,000018.txt,000018_abbreviated.txt
000019,Enterococcus faecalis,E. faecalis,000019.txt,000019_abbreviated.txt
000020,Enterobacter hormaechei,E. hormaechei,000020.txt,000020_abbreviated.txt
000021,Vibrio parahaemolyticus,V. parahaemolyticus,000021.txt,000021_abbreviated.txt
000022,Streptococcus agalactiae,S. agalactiae,000022.txt,000022_abbreviated.txt
000023,Vibrio cholerae,V. cholerae,000023.txt,000023_abbreviated.txt
000024,Pseudomonas viridiflava,P. viridiflava,000024.txt,000024_abbreviated.txt
000025,Streptococcus suis,S. suis,000025.txt,000025_abbreviated.txt
000026,Wolbachia pipientis,W. pipientis,000026.txt,000026_abbreviated.txt
000027,Bordetella pertussis,B. pertussis,000027.txt,000027_abbreviated.txt
000028,Helicobacter pylori,H. pylori,000028.txt,000028_abbreviated.txt
000029,Campylobacter coli,C. coli,000029.txt,000029_abbreviated.txt
000030,Staphylococcus epidermidis,S. epidermidis,000030.txt,000030_abbreviated.txt
000031,Brucella melitensis,B. melitensis,000031.txt,000031_abbreviated.txt
000032,Legionella pneumophila,L. pneumophila,000032.txt,000032_abbreviated.txt
000033,Neisseria gonorrhoeae,N. gonorrhoeae,000033.txt,000033_abbreviated.txt
000034,Francisella tularensis,F. tularensis,000034.txt,000034_abbreviated.txt
